stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745869639.207861,-0.009249,-0.015904,-0.009418,-0.000865,-0.000577,0.000485,0.038213,-0.015881,0.061086,0.116659,-0.028512,0.158795,0.114129,-0.027042,0.159072,0.011413,0.000000,0.000000,2058,2057,2057
1745869639.212854,-0.009269,-0.015951,-0.009422,-0.002753,-0.003946,-0.003441,0.011490,-0.106390,-0.003841,0.034737,-0.189594,-0.009386,0.034859,-0.189673,-0.007629,0.003486,0.000000,0.000000,2057,2057,2057
1745869639.217854,-0.009269,-0.015951,-0.009422,-0.002753,-0.003946,-0.003441,-0.006851,-0.150737,-0.044518,-0.021452,-0.268479,-0.114816,-0.019660,-0.269531,-0.112337,-0.001966,0.000000,0.000000,2023,2057,2057
1745869639.222854,-0.009269,-0.015951,-0.009422,-0.002753,-0.003946,-0.003441,-0.017614,-0.160324,-0.064796,-0.054363,-0.285493,-0.167446,-0.051735,-0.287033,-0.164813,-0.005173,0.000000,0.000000,2023,2057,2057
1745869639.227853,-0.009292,-0.015939,-0.009379,-0.002529,0.006876,0.005312,-0.016771,0.118324,0.144736,-0.048110,0.210382,0.373866,-0.054038,0.213846,0.371942,-0.005404,0.000000,0.000000,2023,2057,2057
1745869639.232859,-0.009275,-0.015944,-0.009377,0.000368,0.000488,0.004522,0.056884,0.123637,0.240332,0.176262,0.219491,0.622489,0.166369,0.225255,0.620506,0.016637,0.000000,0.000000,2059,2057,2057
1745869639.237868,-0.009275,-0.015944,-0.009377,0.000368,0.000488,0.004522,0.096486,0.111806,0.271272,0.296600,0.198299,0.703286,0.285415,0.204814,0.701506,0.028542,0.000000,0.000000,2061,2057,2057
1745869639.242857,-0.009257,-0.015990,-0.009379,0.008050,-0.005988,-0.000785,0.297378,-0.067621,0.127807,0.901833,-0.120945,0.336220,0.896439,-0.117828,0.337368,0.089644,0.000000,0.000000,2069,2057,2057
1745869639.247859,-0.009257,-0.015990,-0.009379,0.008050,-0.005988,-0.000785,0.388540,-0.173251,0.021107,1.175745,-0.308819,0.062060,1.174707,-0.308231,0.064924,0.117471,0.000000,0.000000,2073,2057,2057
1745869639.252855,-0.009257,-0.015990,-0.009379,0.008050,-0.005988,-0.000785,0.398536,-0.218751,-0.048870,1.204763,-0.389660,-0.118695,1.206603,-0.390743,-0.115097,0.120660,0.000000,0.000000,2074,2057,2057
1745869639.257857,-0.009485,-0.015985,-0.009413,-0.035705,-0.006851,-0.005683,-0.716310,-0.241937,-0.207242,-2.170364,-0.430720,-0.548250,-2.161666,-0.435900,-0.544210,-0.216167,0.000000,0.000000,1993,2057,2057
1745869639.262857,-0.009340,-0.016521,-0.009622,-0.075796,-0.072021,-0.037606,-2.315566,-1.823636,-1.064102,-7.015729,-3.250748,-2.795927,-6.970037,-3.276720,-2.765820,-0.697004,0.000000,0.000000,1924,2057,2057
1745869639.267859,-0.009340,-0.016521,-0.009622,-0.075796,-0.072021,-0.037606,-3.043599,-2.600839,-1.475805,-9.225444,-4.634278,-3.871765,-9.162192,-4.670239,-3.828835,-0.916219,0.000000,0.000000,1893,2057,2057
1745869639.272854,-0.009340,-0.016521,-0.009622,-0.075796,-0.072021,-0.037606,-3.130918,-2.773425,-1.555221,-9.491012,-4.941550,-4.078253,-9.424395,-4.979426,-4.032471,-0.942440,0.000000,0.000000,1889,2057,2057
1745869639.277862,-0.017013,-0.015768,-0.010283,-1.089210,0.071124,-0.057257,-27.670465,0.969705,-1.897144,-83.749976,1.629577,-5.299750,-83.665976,1.539178,-5.327369,-8.366598,0.000000,0.000000,826,2057,2057
1745869639.282869,-0.017013,-0.015768,-0.010283,-1.089210,0.071124,-0.057257,-39.779718,3.216226,-1.880144,-120.381071,5.634057,-5.479866,-120.293157,5.540015,-5.575616,-12.029316,0.000000,0.000000,302,2057,2057
1745869639.287862,-0.058913,-0.014530,-0.014992,-3.354516,0.078700,-0.183999,-97.966344,4.423827,-4.740131,-296.473876,6.907989,-13.718620,-296.268971,6.088267,-14.103043,-29.626897,0.000000,0.000000,0,2057,2057
1745869639.292858,-0.058913,-0.014530,-0.014992,-3.354516,0.078700,-0.183999,-122.831098,4.647658,-5.971463,-371.711877,7.343833,-17.301945,-371.454621,6.312373,-17.706194,-37.145462,0.000000,0.000000,0,2057,2057
1745869639.297868,-0.103086,-0.013379,-0.016442,-4.536273,0.173388,-0.106700,-152.553613,6.544091,-4.122954,-461.619253,10.864077,-12.380872,-461.439522,9.532366,-13.434302,-46.143952,0.000000,0.000000,0,2057,2057
1745869639.302867,-0.103086,-0.013379,-0.016442,-4.536273,0.173388,-0.106700,-152.578792,6.937129,-2.451044,-461.671074,11.491537,-8.087189,-461.547623,10.598331,-9.227604,-46.154762,0.000000,0.000000,0,2057,2057
1745869639.307860,-0.150374,-0.010420,-0.016515,-5.535674,0.403501,0.055036,-158.383057,11.966818,2.861950,-479.121143,20.917918,7.507374,-479.165837,21.806528,4.289207,-47.916584,0.000000,0.000000,0,2057,2057
1745869639.312861,-0.201400,-0.006843,-0.016013,-5.659428,0.338361,0.155807,-145.716790,12.094432,8.348377,-440.682135,21.569202,21.871425,-440.799250,25.508418,17.115024,-44.079925,0.000000,0.000000,0,2057,2057
1745869639.317858,-0.201400,-0.006843,-0.016013,-5.659428,0.338361,0.155807,-119.867561,10.694102,10.793869,-362.462258,18.805374,28.436831,-362.627176,24.113804,24.100770,-36.262718,0.000000,0.000000,0,2057,2057
1745869639.322860,-0.253342,-0.003307,-0.014574,-5.666866,0.306996,0.245032,-89.004765,7.729242,13.206783,-269.049955,13.667760,35.252030,-269.151495,22.067078,30.701265,-26.915150,0.000000,0.000000,0,2057,2057
1745869639.327861,-0.253342,-0.003307,-0.014574,-5.666866,0.306996,0.245032,-58.573953,4.906524,13.114181,-176.986807,8.498000,35.435246,-177.093220,17.108258,32.174392,-17.709322,0.000000,0.000000,0,2057,2057
1745869639.332862,-0.304656,-0.000606,-0.014968,-5.747470,0.319410,-0.047437,-34.131317,2.824791,4.282499,-103.381409,2.674253,11.852715,-103.387773,6.106509,10.504717,-10.338777,0.000000,0.000000,544,2057,2057
1745869639.337861,-0.353761,0.001162,-0.016848,-5.314663,0.213410,-0.143686,-3.889148,-1.434646,-4.185339,-11.858149,-4.308842,-10.072381,-11.867392,-7.531378,-7.955966,-1.186739,0.000000,0.000000,1854,2057,2057
1745869639.342862,-0.353761,0.001162,-0.016848,-5.314663,0.213410,-0.143686,15.720338,-3.953652,-9.029826,47.473605,-8.331679,-21.793952,47.453207,-15.365788,-17.558081,4.745321,0.000000,0.000000,2729,2057,2057
1745869639.347863,-0.353761,0.001162,-0.016848,-5.314663,0.213410,-0.143686,26.195393,-5.062244,-10.987070,79.166761,-10.127745,-26.519779,79.141936,-18.687793,-21.369063,7.914194,0.000000,0.000000,3177,2057,2057
1745869639.352863,-0.397922,0.000535,-0.018415,-4.726996,-0.053432,-0.202817,44.008360,-11.680790,-12.327461,133.210326,-21.276649,-29.860331,133.200005,-31.185246,-19.282525,13.320000,0.000000,0.000000,3942,2057,2057
1745869639.357864,-0.397922,0.000535,-0.018415,-4.726996,-0.053432,-0.202817,49.884927,-14.436565,-11.664998,150.988565,-26.629489,-27.785773,150.980378,-35.315961,-15.295812,15.098038,0.000000,0.000000,4095,2057,2057
1745869639.362860,-0.397922,0.000535,-0.018415,-4.726996,-0.053432,-0.202817,47.490671,-14.410362,-9.818256,143.743933,-26.877573,-23.234336,143.738043,-33.780965,-11.003851,14.373804,0.000000,0.000000,4091,2057,2057
1745869639.367864,-0.439571,0.001006,-0.020950,-4.672554,0.299749,-0.212112,41.490378,-3.968270,-7.673085,125.348937,-9.234595,-18.441877,125.336102,-16.204667,-12.758899,12.533610,0.000000,0.000000,3831,2057,2057
1745869639.372861,-0.505211,0.003712,-0.023955,-3.341999,0.122729,0.003393,65.197738,-1.223254,-0.101568,197.225449,-2.906020,-0.078195,197.230416,-2.580823,1.338074,19.723042,0.000000,0.000000,4095,2057,2057
1745869639.377866,-0.505211,0.003712,-0.023955,-3.341999,0.122729,0.003393,72.228262,0.665675,4.707638,218.474778,-0.102282,11.063106,218.510893,5.264951,9.730590,21.851089,0.000000,0.000000,4095,2057,2057
1745869639.382865,-0.533969,0.003528,-0.023703,-3.222878,-0.065874,0.008634,70.733241,-2.843172,7.297103,213.953324,-6.782219,17.584534,214.018904,3.111625,18.588610,21.401890,0.000000,0.000000,4095,2057,2057
1745869639.387861,-0.533969,0.003528,-0.023703,-3.222878,-0.065874,0.008634,61.130378,-4.712997,8.040643,184.898265,-10.654822,19.762627,184.977412,0.886662,22.434499,18.497741,0.000000,0.000000,4095,2057,2057
1745869639.392865,-0.564908,0.003966,-0.024432,-3.478251,0.094055,-0.073709,41.296681,-1.399372,5.507968,124.896203,-4.647804,12.796460,124.948942,2.924725,13.296625,12.494894,0.000000,0.000000,3825,2057,2057
